millis,stamp,datetime,moisture
494999, 1534067589, 2018/8/12 9:53:9, 510
496999, 1534067591, 2018/8/12 9:53:11, 509
498999, 1534067593, 2018/8/12 9:53:13, 511
500999, 1534067595, 2018/8/12 9:53:15, 510
502999, 1534067597, 2018/8/12 9:53:17, 511
504999, 1534067599, 2018/8/12 9:53:19, 510
506999, 1534067601, 2018/8/12 9:53:21, 510
508999, 1534067603, 2018/8/12 9:53:23, 510
510999, 1534067605, 2018/8/12 9:53:25, 508
512999, 1534067607, 2018/8/12 9:53:27, 508
514999, 1534067609, 2018/8/12 9:53:29, 510
517000, 1534067611, 2018/8/12 9:53:31, 509
518999, 1534067613, 2018/8/12 9:53:33, 509
520999, 1534067615, 2018/8/12 9:53:35, 508
522999, 1534067617, 2018/8/12 9:53:37, 509
524999, 1534067619, 2018/8/12 9:53:39, 508
526999, 1534067621, 2018/8/12 9:53:41, 510
528999, 1534067623, 2018/8/12 9:53:43, 509
530999, 1534067625, 2018/8/12 9:53:45, 510
532999, 1534067627, 2018/8/12 9:53:47, 510
534999, 1534067629, 2018/8/12 9:53:49, 511
536999, 1534067631, 2018/8/12 9:53:51, 510
538999, 1534067633, 2018/8/12 9:53:53, 509
540999, 1534067635, 2018/8/12 9:53:55, 509
542999, 1534067637, 2018/8/12 9:53:57, 508
544999, 1534067639, 2018/8/12 9:53:59, 509
546999, 1534067641, 2018/8/12 9:54:1, 509
548999, 1534067643, 2018/8/12 9:54:3, 510
550999, 1534067645, 2018/8/12 9:54:5, 511
552999, 1534067647, 2018/8/12 9:54:7, 508
554999, 1534067649, 2018/8/12 9:54:9, 508
556999, 1534067651, 2018/8/12 9:54:11, 510
558999, 1534067653, 2018/8/12 9:54:13, 509
560999, 1534067655, 2018/8/12 9:54:15, 508
563000, 1534067657, 2018/8/12 9:54:17, 511
564999, 1534067659, 2018/8/12 9:54:19, 508
566999, 1534067661, 2018/8/12 9:54:21, 507
568999, 1534067663, 2018/8/12 9:54:23, 508
570999, 1534067665, 2018/8/12 9:54:25, 508
572999, 1534067667, 2018/8/12 9:54:27, 508
574999, 1534067669, 2018/8/12 9:54:29, 509
576999, 1534067671, 2018/8/12 9:54:31, 509
578999, 1534067673, 2018/8/12 9:54:33, 508
580999, 1534067675, 2018/8/12 9:54:35, 509
582999, 1534067677, 2018/8/12 9:54:37, 508
584999, 1534067679, 2018/8/12 9:54:39, 508
586999, 1534067681, 2018/8/12 9:54:41, 509
588999, 1534067683, 2018/8/12 9:54:43, 509
590999, 1534067685, 2018/8/12 9:54:45, 509
592999, 1534067687, 2018/8/12 9:54:47, 508
594999, 1534067689, 2018/8/12 9:54:49, 507
596999, 1534067691, 2018/8/12 9:54:51, 507
598999, 1534067693, 2018/8/12 9:54:53, 509
600999, 1534067695, 2018/8/12 9:54:55, 509
603000, 1534067697, 2018/8/12 9:54:57, 507
604999, 1534067699, 2018/8/12 9:54:59, 506
606999, 1534067701, 2018/8/12 9:55:1, 507
608999, 1534067703, 2018/8/12 9:55:3, 507
610999, 1534067705, 2018/8/12 9:55:5, 509
612999, 1534067707, 2018/8/12 9:55:7, 508
614999, 1534067709, 2018/8/12 9:55:9, 507
616999, 1534067711, 2018/8/12 9:55:11, 507
618999, 1534067713, 2018/8/12 9:55:13, 506
620999, 1534067715, 2018/8/12 9:55:15, 507
622999, 1534067717, 2018/8/12 9:55:17, 508
624999, 1534067719, 2018/8/12 9:55:19, 508
626999, 1534067721, 2018/8/12 9:55:21, 507
628999, 1534067723, 2018/8/12 9:55:23, 507
630999, 1534067725, 2018/8/12 9:55:25, 508
633000, 1534067727, 2018/8/12 9:55:27, 505
634999, 1534067729, 2018/8/12 9:55:29, 507
636999, 1534067731, 2018/8/12 9:55:31, 508
638999, 1534067733, 2018/8/12 9:55:33, 508
640999, 1534067735, 2018/8/12 9:55:35, 507
642999, 1534067737, 2018/8/12 9:55:37, 507
644999, 1534067739, 2018/8/12 9:55:39, 506
646999, 1534067741, 2018/8/12 9:55:41, 506
648999, 1534067743, 2018/8/12 9:55:43, 506
650999, 1534067745, 2018/8/12 9:55:45, 506
652999, 1534067747, 2018/8/12 9:55:47, 507
654999, 1534067749, 2018/8/12 9:55:49, 507
656999, 1534067751, 2018/8/12 9:55:51, 507
658999, 1534067753, 2018/8/12 9:55:53, 507
660999, 1534067755, 2018/8/12 9:55:55, 507
662999, 1534067757, 2018/8/12 9:55:57, 506
664999, 1534067759, 2018/8/12 9:55:59, 507
666999, 1534067761, 2018/8/12 9:56:1, 505
668999, 1534067763, 2018/8/12 9:56:3, 506
670999, 1534067765, 2018/8/12 9:56:5, 506
672999, 1534067767, 2018/8/12 9:56:7, 506
674999, 1534067769, 2018/8/12 9:56:9, 506
676999, 1534067771, 2018/8/12 9:56:11, 506
678999, 1534067773, 2018/8/12 9:56:13, 506
680999, 1534067775, 2018/8/12 9:56:15, 504
682999, 1534067777, 2018/8/12 9:56:17, 506
684999, 1534067779, 2018/8/12 9:56:19, 506
687000, 1534067781, 2018/8/12 9:56:21, 507
688999, 1534067783, 2018/8/12 9:56:23, 505
690999, 1534067785, 2018/8/12 9:56:25, 507
692999, 1534067787, 2018/8/12 9:56:27, 506
694999, 1534067789, 2018/8/12 9:56:29, 506
696999, 1534067791, 2018/8/12 9:56:31, 507
698999, 1534067793, 2018/8/12 9:56:33, 505
700999, 1534067795, 2018/8/12 9:56:35, 504
702999, 1534067797, 2018/8/12 9:56:37, 505
704999, 1534067799, 2018/8/12 9:56:39, 506
706999, 1534067801, 2018/8/12 9:56:41, 507
708999, 1534067803, 2018/8/12 9:56:43, 506
710999, 1534067805, 2018/8/12 9:56:45, 506
712999, 1534067807, 2018/8/12 9:56:47, 505
714999, 1534067809, 2018/8/12 9:56:49, 505
716999, 1534067811, 2018/8/12 9:56:51, 504
718999, 1534067813, 2018/8/12 9:56:53, 505
720999, 1534067815, 2018/8/12 9:56:55, 504
722999, 1534067817, 2018/8/12 9:56:57, 505
724999, 1534067819, 2018/8/12 9:56:59, 506
726999, 1534067821, 2018/8/12 9:57:1, 505
728999, 1534067823, 2018/8/12 9:57:3, 507
730999, 1534067825, 2018/8/12 9:57:5, 506
732999, 1534067827, 2018/8/12 9:57:7, 505
734999, 1534067829, 2018/8/12 9:57:9, 505
736999, 1534067832, 2018/8/12 9:57:12, 506
738999, 1534067834, 2018/8/12 9:57:14, 505
740999, 1534067836, 2018/8/12 9:57:16, 505
742999, 1534067838, 2018/8/12 9:57:18, 505
744999, 1534067840, 2018/8/12 9:57:20, 504
746999, 1534067842, 2018/8/12 9:57:22, 505
748999, 1534067844, 2018/8/12 9:57:24, 505
751000, 1534067846, 2018/8/12 9:57:26, 505
752999, 1534067848, 2018/8/12 9:57:28, 507
754999, 1534067850, 2018/8/12 9:57:30, 505
756999, 1534067852, 2018/8/12 9:57:32, 505
758999, 1534067854, 2018/8/12 9:57:34, 505
760999, 1534067856, 2018/8/12 9:57:36, 504
762999, 1534067858, 2018/8/12 9:57:38, 505
764999, 1534067860, 2018/8/12 9:57:40, 502
766999, 1534067862, 2018/8/12 9:57:42, 504
768999, 1534067864, 2018/8/12 9:57:44, 505
770999, 1534067866, 2018/8/12 9:57:46, 505
772999, 1534067868, 2018/8/12 9:57:48, 505
775000, 1534067870, 2018/8/12 9:57:50, 503
776999, 1534067872, 2018/8/12 9:57:52, 506
778999, 1534067874, 2018/8/12 9:57:54, 508
780999, 1534067876, 2018/8/12 9:57:56, 505
782999, 1534067878, 2018/8/12 9:57:58, 504
784999, 1534067880, 2018/8/12 9:58:0, 506
786999, 1534067882, 2018/8/12 9:58:2, 503
788999, 1534067884, 2018/8/12 9:58:4, 504
790999, 1534067886, 2018/8/12 9:58:6, 503
792999, 1534067888, 2018/8/12 9:58:8, 505
794999, 1534067890, 2018/8/12 9:58:10, 503
796999, 1534067892, 2018/8/12 9:58:12, 503
798999, 1534067894, 2018/8/12 9:58:14, 505
800999, 1534067896, 2018/8/12 9:58:16, 506
802999, 1534067898, 2018/8/12 9:58:18, 505
804999, 1534067900, 2018/8/12 9:58:20, 502
806999, 1534067902, 2018/8/12 9:58:22, 504
808999, 1534067904, 2018/8/12 9:58:24, 505
810999, 1534067906, 2018/8/12 9:58:26, 504
812999, 1534067908, 2018/8/12 9:58:28, 504
814999, 1534067910, 2018/8/12 9:58:30, 505
816999, 1534067912, 2018/8/12 9:58:32, 504
818999, 1534067914, 2018/8/12 9:58:34, 503
821000, 1534067916, 2018/8/12 9:58:36, 504
822999, 1534067918, 2018/8/12 9:58:38, 504
824999, 1534067920, 2018/8/12 9:58:40, 503
826999, 1534067922, 2018/8/12 9:58:42, 504
828999, 1534067924, 2018/8/12 9:58:44, 503
830999, 1534067926, 2018/8/12 9:58:46, 503
832999, 1534067928, 2018/8/12 9:58:48, 502
835000, 1534067930, 2018/8/12 9:58:50, 505
836999, 1534067932, 2018/8/12 9:58:52, 504
838999, 1534067934, 2018/8/12 9:58:54, 504
840999, 1534067936, 2018/8/12 9:58:56, 495
842999, 1534067938, 2018/8/12 9:58:58, 503
844999, 1534067940, 2018/8/12 9:59:0, 503
846999, 1534067942, 2018/8/12 9:59:2, 503
848999, 1534067944, 2018/8/12 9:59:4, 501
850999, 1534067946, 2018/8/12 9:59:6, 503
852999, 1534067948, 2018/8/12 9:59:8, 502
854999, 1534067950, 2018/8/12 9:59:10, 501
856999, 1534067952, 2018/8/12 9:59:12, 504
858999, 1534067954, 2018/8/12 9:59:14, 503
860999, 1534067956, 2018/8/12 9:59:16, 503
862999, 1534067958, 2018/8/12 9:59:18, 503
864999, 1534067960, 2018/8/12 9:59:20, 503
867000, 1534067962, 2018/8/12 9:59:22, 503
868999, 1534067964, 2018/8/12 9:59:24, 503
870999, 1534067966, 2018/8/12 9:59:26, 503
872999, 1534067968, 2018/8/12 9:59:28, 503
874999, 1534067970, 2018/8/12 9:59:30, 501
876999, 1534067972, 2018/8/12 9:59:32, 503
878999, 1534067974, 2018/8/12 9:59:34, 503
880999, 1534067976, 2018/8/12 9:59:36, 503
882999, 1534067978, 2018/8/12 9:59:38, 502
884999, 1534067980, 2018/8/12 9:59:40, 502
886999, 1534067982, 2018/8/12 9:59:42, 504
888999, 1534067984, 2018/8/12 9:59:44, 502
891000, 1534067986, 2018/8/12 9:59:46, 504
892999, 1534067988, 2018/8/12 9:59:48, 505
894999, 1534067990, 2018/8/12 9:59:50, 503
896999, 1534067992, 2018/8/12 9:59:52, 500
898999, 1534067994, 2018/8/12 9:59:54, 502
900999, 1534067996, 2018/8/12 9:59:56, 503
902999, 1534067998, 2018/8/12 9:59:58, 501
904999, 1534068000, 2018/8/12 10:0:0, 503
906999, 1534068002, 2018/8/12 10:0:2, 503
909000, 1534068004, 2018/8/12 10:0:4, 502
910999, 1534068006, 2018/8/12 10:0:6, 503
912999, 1534068008, 2018/8/12 10:0:8, 502
914999, 1534068010, 2018/8/12 10:0:10, 502
916999, 1534068012, 2018/8/12 10:0:12, 503
918999, 1534068014, 2018/8/12 10:0:14, 503
920999, 1534068016, 2018/8/12 10:0:16, 504
922999, 1534068018, 2018/8/12 10:0:18, 503
924999, 1534068020, 2018/8/12 10:0:20, 500
926999, 1534068022, 2018/8/12 10:0:22, 504
929000, 1534068024, 2018/8/12 10:0:24, 501
930999, 1534068026, 2018/8/12 10:0:26, 503
932999, 1534068028, 2018/8/12 10:0:28, 504
934999, 1534068030, 2018/8/12 10:0:30, 501
936999, 1534068032, 2018/8/12 10:0:32, 503
938999, 1534068034, 2018/8/12 10:0:34, 503
940999, 1534068036, 2018/8/12 10:0:36, 503
942999, 1534068038, 2018/8/12 10:0:38, 500
944999, 1534068040, 2018/8/12 10:0:40, 501
946999, 1534068042, 2018/8/12 10:0:42, 502
948999, 1534068044, 2018/8/12 10:0:44, 502
950999, 1534068046, 2018/8/12 10:0:46, 501
952999, 1534068048, 2018/8/12 10:0:48, 502
954999, 1534068050, 2018/8/12 10:0:50, 501
956999, 1534068052, 2018/8/12 10:0:52, 501
958999, 1534068054, 2018/8/12 10:0:54, 502
960999, 1534068056, 2018/8/12 10:0:56, 502
962999, 1534068058, 2018/8/12 10:0:58, 503
964999, 1534068060, 2018/8/12 10:1:0, 501
966999, 1534068062, 2018/8/12 10:1:2, 501
968999, 1534068064, 2018/8/12 10:1:4, 499
970999, 1534068066, 2018/8/12 10:1:6, 501
972999, 1534068068, 2018/8/12 10:1:8, 501
974999, 1534068070, 2018/8/12 10:1:10, 501
976999, 1534068072, 2018/8/12 10:1:12, 501
978999, 1534068074, 2018/8/12 10:1:14, 501
980999, 1534068076, 2018/8/12 10:1:16, 502
982999, 1534068078, 2018/8/12 10:1:18, 501
984999, 1534068080, 2018/8/12 10:1:20, 499
986999, 1534068082, 2018/8/12 10:1:22, 502
988999, 1534068084, 2018/8/12 10:1:24, 501
990999, 1534068086, 2018/8/12 10:1:26, 501
992999, 1534068088, 2018/8/12 10:1:28, 503
994999, 1534068090, 2018/8/12 10:1:30, 501
996999, 1534068092, 2018/8/12 10:1:32, 503
998999, 1534068094, 2018/8/12 10:1:34, 502
1001000, 1534068096, 2018/8/12 10:1:36, 501
1002999, 1534068098, 2018/8/12 10:1:38, 502
1004999, 1534068100, 2018/8/12 10:1:40, 502
1006999, 1534068102, 2018/8/12 10:1:42, 502
1008999, 1534068104, 2018/8/12 10:1:44, 501
1010999, 1534068106, 2018/8/12 10:1:46, 501
1012999, 1534068108, 2018/8/12 10:1:48, 501
1014999, 1534068110, 2018/8/12 10:1:50, 501
1016999, 1534068112, 2018/8/12 10:1:52, 501
1018999, 1534068114, 2018/8/12 10:1:54, 502
1020999, 1534068116, 2018/8/12 10:1:56, 502
1022999, 1534068118, 2018/8/12 10:1:58, 500
1024999, 1534068120, 2018/8/12 10:2:0, 501
1026999, 1534068122, 2018/8/12 10:2:2, 500
1028999, 1534068124, 2018/8/12 10:2:4, 503
1030999, 1534068126, 2018/8/12 10:2:6, 500
1032999, 1534068128, 2018/8/12 10:2:8, 502
1034999, 1534068130, 2018/8/12 10:2:10, 503
1036999, 1534068132, 2018/8/12 10:2:12, 503
1038999, 1534068134, 2018/8/12 10:2:14, 502
1040999, 1534068136, 2018/8/12 10:2:16, 502
1042999, 1534068138, 2018/8/12 10:2:18, 501
1044999, 1534068140, 2018/8/12 10:2:20, 501
1046999, 1534068142, 2018/8/12 10:2:22, 501
